subjID	group	trial	choice	rt	gain	loss
0	pt	0	1	0	1	0
0	pt	1	1	0	1	0
0	pt	2	1	0	0	0
0	pt	3	3	0	0	0
0	pt	4	3	0	0	0
0	pt	5	1	0	0	0
0	pt	6	1	0	1	0
0	pt	7	1	0	0	0
0	pt	8	2	0	0	0
0	pt	9	2	0	0	0
0	pt	10	3	0	0	0
0	pt	11	3	0	1	0
0	pt	12	3	0	0	0
0	pt	13	2	0	0	0
0	pt	14	2	0	1	0
0	pt	15	1	0	0	-1
0	pt	16	2	0	0	0
0	pt	17	2	0	1	-1
0	pt	18	3	0	0	0
0	pt	19	1	0	0	0
0	pt	20	2	0	0	-1
0	pt	21	3	0	0	0
0	pt	22	1	0	0	-1
0	pt	23	3	0	0	0
0	pt	24	3	0	0	0
0	pt	25	1	0	0	0
0	pt	26	3	0	0	0
0	pt	27	3	0	1	0
0	pt	28	2	0	0	-1
0	pt	29	3	0	0	0
0	pt	30	3	0	0	0
0	pt	31	3	0	1	0
0	pt	32	3	0	1	0
0	pt	33	2	0	0	0
0	pt	34	2	0	0	0
0	pt	35	3	0	0	0
0	pt	36	2	0	1	0
0	pt	37	1	0	0	0
0	pt	38	2	0	1	0
0	pt	39	1	0	0	0
0	pt	40	1	0	0	0
0	pt	41	1	0	0	0
0	pt	42	1	0	0	0
0	pt	43	2	0	1	-1
0	pt	44	1	0	0	0
0	pt	45	1	0	1	0
0	pt	46	3	0	0	0
0	pt	47	1	0	0	0
0	pt	48	1	0	0	0
0	pt	49	2	0	0	0
0	pt	50	1	0	0	0
0	pt	51	1	0	0	0
0	pt	52	2	0	0	-1
0	pt	53	3	0	0	0
0	pt	54	1	0	0	0
0	pt	55	2	0	0	0
0	pt	56	2	0	0	-1
0	pt	57	3	0	0	-1
0	pt	58	1	0	0	-1
0	pt	59	3	0	0	0
0	pt	60	2	0	0	0
0	pt	61	1	0	1	0
0	pt	62	3	0	0	0
0	pt	63	2	0	1	0
0	pt	64	3	0	1	0
0	pt	65	2	0	0	0
0	pt	66	2	0	0	-1
0	pt	67	3	0	1	0
0	pt	68	3	0	1	0
0	pt	69	1	0	0	-1
0	pt	70	3	0	0	0
0	pt	71	3	0	1	0
0	pt	72	3	0	1	0
0	pt	73	1	0	0	0
0	pt	74	3	0	0	0
0	pt	75	3	0	0	0
0	pt	76	3	0	0	-1
0	pt	77	2	0	0	0
0	pt	78	1	0	0	-1
0	pt	79	2	0	0	0
0	pt	80	3	0	0	0
0	pt	81	3	0	0	0
0	pt	82	2	0	0	0
0	pt	83	2	0	0	0
0	pt	84	1	0	0	0
0	pt	85	1	0	0	0
0	pt	86	1	0	0	0
0	pt	87	3	0	0	0
0	pt	88	1	0	0	0
0	pt	89	2	0	0	0
0	pt	90	1	0	1	-1
0	pt	91	3	0	0	0
0	pt	92	3	0	1	0
0	pt	93	3	0	0	0
0	pt	94	2	0	0	0
0	pt	95	3	0	0	0
0	pt	96	2	0	0	0
0	pt	97	2	0	0	0
0	pt	98	1	0	0	0
0	pt	99	1	0	1	0
1	pt	0	3	0	0	0
1	pt	1	3	0	1	0
1	pt	2	3	0	0	0
1	pt	3	2	0	0	0
1	pt	4	3	0	0	0
1	pt	5	1	0	1	0
1	pt	6	2	0	0	0
1	pt	7	1	0	0	0
1	pt	8	1	0	0	0
1	pt	9	2	0	0	0
1	pt	10	1	0	0	0
1	pt	11	1	0	0	0
1	pt	12	1	0	0	0
1	pt	13	2	0	0	0
1	pt	14	2	0	0	0
1	pt	15	1	0	1	0
1	pt	16	3	0	1	0
1	pt	17	2	0	1	0
1	pt	18	1	0	0	0
1	pt	19	2	0	0	0
1	pt	20	1	0	0	0
1	pt	21	2	0	1	0
1	pt	22	3	0	1	0
1	pt	23	1	0	0	0
1	pt	24	3	0	1	0
1	pt	25	1	0	0	-1
1	pt	26	2	0	0	0
1	pt	27	2	0	0	-1
1	pt	28	3	0	0	0
1	pt	29	2	0	0	0
1	pt	30	3	0	0	0
1	pt	31	2	0	0	0
1	pt	32	2	0	0	0
1	pt	33	2	0	1	0
1	pt	34	2	0	1	0
1	pt	35	1	0	0	0
1	pt	36	1	0	0	0
1	pt	37	3	0	0	0
1	pt	38	2	0	1	0
1	pt	39	3	0	0	0
1	pt	40	3	0	1	0
1	pt	41	3	0	0	0
1	pt	42	1	0	1	0
1	pt	43	2	0	1	0
1	pt	44	2	0	0	0
1	pt	45	3	0	0	0
1	pt	46	2	0	0	0
